BufId,Offset
0,0
1,1
2,2
3,87
4,87
5,0
6,0
7,3
8,21
9,4
10,23
11,87
12,87
13,87
14,87
15,0
16,0
17,0
18,0
19,5
20,25
21,6
22,27
23,87
24,87
25,87
26,87
27,0
28,0
29,0
30,0
31,405
32,789
33,3072
34,0
35,3783
36,3783
37,0
38,0
39,768
40,1536
41,87
42,87
43,0
44,0
45,1173
46,768
47,2
48,768
49,3783
50,3783
51,3783
52,3783
53,0
54,0
55,0
56,0
57,1557
58,768
59,1941
60,768
61,3783
62,3783
63,3783
64,3783
65,0
66,0
67,0
68,0
69,2325
70,768
71,2709
72,768
73,3783
74,3783
75,3783
76,3783
77,0
78,0
79,0
80,0
81,1287
82,3093
83,1383
84,3477
85,3783
86,3783
87,3783
88,3783
89,0
90,0
91,0
92,0
93,87
94,1479
95,111
96,1575
97,3783
98,3783
99,3783
100,3783
101,0
102,0
103,0
104,0
105,135
106,1671
107,159
108,1767
109,3783
110,3783
111,3783
112,3783
113,0
114,0
115,0
116,0
117,75
118,183
119,81
120,207
121,3783
122,3783
123,3783
124,3783
125,0
126,0
127,0
128,0
129,7
130,29
131,8
132,31
133,3783
134,3783
135,3783
136,3783
137,0
138,0
139,0
140,0
141,33
142,63
143,35
144,67
145,37
146,71
147,327
148,327
149,327
150,327
151,327
152,327
153,0
154,0
155,0
156,0
157,0
158,0
159,9
160,39
161,10
162,41
163,11
164,43
165,12
166,45
167,87
168,87
169,87
170,87
171,87
172,87
173,87
174,87
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,13
184,47
185,14
186,49
187,15
188,51
189,16
190,53
191,87
192,87
193,87
194,87
195,87
196,87
197,87
198,87
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,17
208,55
209,18
210,57
211,19
212,59
213,20
214,61
215,87
216,87
217,87
218,87
219,87
220,87
221,87
222,87
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,1863
232,0
233,1959
234,386
235,2055
236,770
237,2151
238,1154
239,3783
240,3783
241,3783
242,3783
243,3783
244,3783
245,3783
246,3783
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,2247
256,1538
257,2343
258,1922
259,2439
260,2306
261,2535
262,2690
263,3783
264,3783
265,3783
266,3783
267,3783
268,3783
269,3783
270,3783
271,3783
272,3783
273,3783
274,3783
275,3783
276,3783
277,3783
278,3783
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,231
296,2631
297,255
298,2727
299,279
300,2823
301,303
302,2919
303,3783
304,3783
305,3783
306,3783
307,3783
308,3783
309,3783
310,3783
311,3783
312,3783
313,3783
314,3783
315,3783
316,3783
317,3783
318,3783
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,327
336,3015
337,375
338,3111
339,423
340,3207
341,471
342,3303
343,3783
344,3783
345,3783
346,3783
347,3783
348,3783
349,3783
350,3783
351,3783
352,3783
353,3783
354,3783
355,3783
356,3783
357,3783
358,3783
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,519
376,1287
377,0
378,567
379,1287
380,0
381,615
382,1287
383,0
384,663
385,1287
386,0
387,711
388,1287
389,0
390,759
391,1287
392,0
393,807
394,1287
395,0
396,855
397,1287
398,0
399,903
400,1287
401,0
402,951
403,1287
404,0
405,999
406,1287
407,0
408,1047
409,1287
410,0
411,1095
412,1287
413,0
414,1143
415,1287
416,0
417,1191
418,1287
419,0
420,1239
421,1287
422,0
423,3783
424,21
425,213
426,405
427,597
428,789
429,981
430,1173
431,3399
432,3074
433,3495
434,3458
435,3591
436,0
437,3687
438,384
439,3783
440,3783
441,3783
442,3783
443,3783
444,3783
445,3783
446,3783
447,3783
448,3783
449,3783
450,3783
451,3783
452,3783
453,3783
454,3783
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,1365
472,768
473,1557
474,1152
475,1749
476,1536
477,1941
478,1920
479,3783
480,3783
481,3783
482,3783
483,3783
484,3783
485,3783
486,3783
487,3783
488,3783
489,3783
490,3783
491,3783
492,3783
493,3783
494,3783
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,2133
512,1287
513,0
514,2325
515,1287
516,0
517,2517
518,1287
519,0
520,2709
521,1287
522,0
523,2901
524,1287
525,0
526,3093
527,1287
528,0
529,3285
530,1287
531,0
532,3477
533,1287
534,0
535,3669
536,1287
537,0
538,1941
539,1287
540,0
541,1749
542,1287
543,0
544,1557
545,1287
546,0
547,1365
548,1287
549,0
550,213
551,1287
552,0
553,597
554,1287
555,0
556,981
557,1287
558,0
559,0
560,2304
561,3072
562,0
563,768
564,1536
565,2304
566,3072
567,2304
568,768
569,2688
570,768
571,3072
572,768
573,3456
574,768
575,3783
576,3783
577,3783
578,3783
579,3783
580,3783
581,3783
582,3783
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,768
593,384
594,768
595,768
596,768
597,1152
598,768
599,3783
600,3783
601,3783
602,3783
603,3783
604,3783
605,3783
606,3783
607,3783
608,3783
609,3783
610,3783
611,3783
612,3783
613,3783
614,3783
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,1536
632,768
633,1920
634,768
635,2304
636,768
637,2688
638,768
639,3783
640,3783
641,3783
642,3783
643,3783
644,3783
645,3783
646,3783
647,3783
648,3783
649,3783
650,3783
651,3783
652,3783
653,3783
654,3783
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,768
673,768
674,768
675,1536
676,768
677,2304
678,768
679,3783
680,3783
681,3783
682,3783
683,3783
684,3783
685,3783
686,3783
687,3783
688,3783
689,3783
690,3783
691,3783
692,3783
693,3783
694,3783
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,3072
712,768
713,0
714,768
715,768
716,768
717,1536
718,768
719,3783
720,3783
721,3783
722,3783
723,3783
724,3783
725,3783
726,3783
727,3783
728,3783
729,3783
730,3783
731,3783
732,3783
733,3783
734,3783
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,2304
752,768
753,3072
754,768
755,0
756,768
757,768
758,768
759,3783
760,3783
761,3783
762,3783
763,3783
764,3783
765,3783
766,3783
767,3783
768,3783
769,3783
770,3783
771,3783
772,3783
773,3783
774,3783
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,1536
792,768
793,2304
794,768
795,3072
796,768
797,0
798,768
799,3783
800,3783
801,3783
802,3783
803,3783
804,3783
805,3783
806,3783
807,3783
808,3783
809,3783
810,3783
811,3783
812,3783
813,3783
814,3783
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
