BufId,NewOffset
3,0
7,128
4,0
8,128
15,0
19,128
16,0
20,128
27,0
31,128
28,0
32,128
38,0
41,128
39,0
42,128
47,0
50,128
48,0
51,128
56,0
60,128
57,0
61,128
66,0
69,128
67,0
70,128
75,0
78,128
76,0
79,128
1,0
2,128
5,256
6,384
9,512
10,640
13,768
14,896
17,1024
18,1152
21,1280
22,1408
25,1536
26,1664
29,1792
30,1920
34,2048
37,2176
40,2304
43,2432
46,2560
49,2688
52,2816
55,2944
59,3072
62,3200
65,3328
68,3456
71,3584
74,3712
77,3840
80,3968
85,0
88,128
86,0
89,128
94,0
97,128
95,0
98,128
103,0
106,128
104,0
107,128
113,0
116,128
114,0
117,128
122,0
125,128
123,0
126,128
131,0
135,128
132,0
136,128
141,0
144,128
142,0
145,128
150,0
153,128
151,0
154,128
160,0
163,128
161,0
164,128
169,0
172,128
170,0
173,128
178,0
181,128
179,0
182,128
87,0
90,128
93,256
96,384
99,512
102,640
105,768
109,896
112,1024
115,1152
118,1280
121,1408
124,1536
127,1664
130,1792
134,1920
137,2048
140,2176
143,2304
146,2432
149,2560
152,2688
155,2816
159,2944
162,3072
165,3200
168,3328
171,3456
174,3584
177,3712
180,3840
184,3968
188,0
191,128
189,0
192,128
197,0
200,128
198,0
201,128
206,0
210,128
207,0
211,128
216,0
219,128
217,0
220,128
225,0
228,128
226,0
229,128
234,0
236,128
235,0
237,128
240,0
242,128
241,0
243,128
246,0
248,128
247,0
249,128
253,0
255,128
254,0
256,128
259,0
261,128
260,0
262,128
265,0
268,128
266,0
269,128
272,0
274,128
273,0
275,128
278,0
280,128
279,0
281,128
285,0
287,128
286,0
288,128
291,0
293,128
292,0
294,128
297,0
299,128
298,0
300,128
304,0
306,128
305,0
307,128
310,0
312,128
311,0
313,128
316,0
319,128
317,0
320,128
323,0
325,128
324,0
326,128
329,0
331,128
330,0
332,128
336,0
338,128
337,0
339,128
342,0
344,128
343,0
345,128
348,0
350,128
349,0
351,128
357,0
360,128
358,0
361,128
366,0
369,128
367,0
370,128
375,0
378,128
376,0
379,128
382,0
384,128
383,0
385,128
388,0
390,128
389,0
391,128
395,0
397,128
396,0
398,128
401,0
403,128
402,0
404,128
407,0
409,128
408,0
410,128
414,0
416,128
415,0
417,128
420,0
422,128
421,0
423,128
426,0
429,128
427,0
430,128
433,0
435,128
434,0
436,128
439,0
441,128
440,0
442,128
446,0
448,128
447,0
449,128
452,0
454,128
453,0
455,128
458,0
460,128
459,0
461,128
465,0
467,128
466,0
468,128
471,0
473,128
472,0
474,128
477,0
480,128
478,0
481,128
484,0
486,128
485,0
487,128
490,0
492,128
491,0
493,128
498,0
501,128
499,0
502,128
507,0
510,128
508,0
511,128
516,0
519,128
517,0
520,128
524,0
526,128
525,0
527,128
530,0
532,128
531,0
533,128
536,0
539,128
537,0
540,128
543,0
545,128
544,0
546,128
549,0
551,128
550,0
552,128
556,0
558,128
557,0
559,128
562,0
564,128
563,0
565,128
568,0
570,128
569,0
571,128
575,0
577,128
576,0
578,128
581,0
583,128
582,0
584,128
587,0
590,128
588,0
591,128
594,0
596,128
595,0
597,128
600,0
602,128
601,0
603,128
607,0
609,128
608,0
610,128
613,0
615,128
614,0
616,128
619,0
621,128
620,0
622,128
626,0
628,128
627,0
629,128
632,0
634,128
633,0
635,128
638,0
642,128
639,0
643,128
648,0
651,128
649,0
652,128
657,0
660,128
658,0
661,128
666,0
668,128
667,0
669,128
672,0
674,128
673,0
675,128
678,0
680,128
679,0
681,128
685,0
687,128
686,0
688,128
691,0
693,128
692,0
694,128
697,0
700,128
698,0
701,128
704,0
706,128
705,0
707,128
710,0
712,128
711,0
713,128
717,0
719,128
718,0
